"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J1";"Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal";1;"AudioJack3";;;
2;"R1";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"10";;;
3;"RV1,RV2";"Potentiometer_ACP_CA6-VSMD_Vertical";2;"10k";;;
4;"C6";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"470p";;;
5;"C1";"C_Disc_D3.0mm_W1.6mm_P2.50mm";1;"1000u";;;
6;"C2,C5";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";2;"0.1u";;;
7;"P1";"USB_C_Plug_ShenzhenJingTuoJin_918-118A2021Y40002_Vertical";1;"USB_C_Plug_USB2.0";;;
8;"R2";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"5.1k";;;
9;"C3,C7";"C_Disc_D3.0mm_W1.6mm_P2.50mm";2;"10u";;;
10;"R3";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"10k";;;
11;"FB1";"R_0201_0603Metric_Pad0.64x0.40mm_HandSolder";1;"FerriteBead";;;
12;"U1";"DIP-8_W7.62mm_LongPads";1;"LM386";;;
13;"J2";"TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal";1;"Screw_Terminal_01x02";;;
